"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"CENTERLINE_PITCH";"COMMENT";"DESCRIPTION";"DK_PN";"JLC_PN";"MF";"MP";"NUMBER_OF_POSITIONS";"PACKAGE";"PN";"POPULARITY";"PRICE";"PRODUCT_TYPE";"TE_PURCHASE_URL";
"C1";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"399-17705-1-ND";"1uF";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"399-17705-1-ND";"1uF";"";"";"";"";"";"";"";"";"";
"C6";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"490-14381-1-ND";"10uF";"";"";"";"";"";"";"";"";"";
"C7";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"399-17705-1-ND";"1uF";"";"";"";"";"";"";"";"";"";
"C8";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"490-14381-1-ND";"10uF";"";"";"";"";"";"";"";"";"";
"C9";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"MBR120";"DIODE_SOD-123FL";"SOD-123FL";"Diode";"";"";"";"";"";"MBR120LSFT1GOSCT-ND";"MBR120LSF";"";"";"";"";"";"";"";"";"";
"J1";"2040002-1";"2040002-1";"TE_2040002-1";"Conn USB Type B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R";"Unavailable";"";".65 mm[.025 in]";"2040002-1";" Conn Micro USB 2.0 Type B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R ";"A108263CT-ND";"";"TE Connectivity";"2040002-1";"5";"None";"2040002-1";"";"None";"Connector";"https://www.te.com/usa-en/product-2040002-1.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493";
"JP2";"";"PINHD-2X2";"2X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"L";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"475-1415-1-ND";"RED LED";"";"";"";"";"";"";"";"";"";
"L1";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";"";"";
"L2";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";"";"";
"L3";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";"";"";
"L4";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";"";"";
"L5";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";"";"";
"L6";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";"";"";
"L7";"AP102-2020";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";"";"";
"R1";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P100KDBCT-ND";"100k";"";"";"";"";"";"";"";"";"";
"R2";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P100KDBCT-ND";"100k";"";"";"";"";"";"";"";"";"";
"R3";"0";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";"";"";
"R4";"0";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";"";"";
"R5";"0";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";"";"";
"R6";"0";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";"";"";
"R7";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P2.2KDBCT-ND";"2.2k";"";"";"";"";"";"";"";"";"";
"R8";"0";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";"";"";
"R9";"0";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";"";"";
"R10";"0";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";"";"";
"SW1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"401-1426-1-ND";"";"";"";"";"";"KMR211GLFS";"";"";"";"";
"U$4";"ATSAMD21G18";"ATSAMD21G_QFN";"TQFN48_7MM";"";"";"";"";"";"";"ATSAMD21G18A-MU-ND";"";"";"";"";"";"ATSAMD21G18A-MU";"";"";"";"";
"U$34";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$35";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"flash";"SPIFLASH_8PINUX";"USON8";"SOIC8 SPI Flash";"";"";"";"";"";"1092-1184-1-ND";"";"";"";"";"";"MX25R2035FZUIL0";"";"";"";"";
"U2";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"AP2112K-3.3TRG1DICT-ND";"AP2112K-3.3TRG1";"";"";"";"";"AP2112K-3.3TRG1";"";"";"";"";
